age,gender,height,weight,bmi,calories_intake,exercise_type,intensity_level,frequency_per_week,activity_level,recommended_calories,protein_grams_per_day,carbs_grams_per_day,fats_grams_per_day
55,male,1.46,80,37.5,2503,yoga,low,2,light,1483.4,148.3,92.7,57.7
29,male,1.82,56,16.9,3918,yoga,low,3,sedentary,2169.0,162.7,244.0,60.2
42,male,1.46,72,33.8,2452,bodyweight,low,3,sedentary,1213.0,121.3,91.0,40.4
47,male,1.73,98,32.7,2402,bodyweight,low,3,sedentary,1697.5,169.8,127.3,56.6
43,female,1.85,45,13.1,2153,strength,low,4,sedentary,1776.3,155.4,222.0,29.6
59,female,1.62,64,24.4,2381,cardio,high,6,very active,2064.0,154.8,232.2,57.3
63,female,1.5,93,41.3,1896,cardio,high,6,very active,1900.3,190.0,166.3,52.8
37,female,1.75,50,16.3,3381,cardio+strength,medium,4,moderate,2234.0,178.7,290.4,39.7
49,male,1.94,93,24.7,1822,yoga,low,3,sedentary,2283.0,171.2,199.8,88.8
50,female,1.86,91,26.3,3864,cardio+strength,medium,5,moderate,2075.3,217.9,166.0,60.0
27,male,1.47,74,34.2,2685,cardio+strength,medium,3,moderate,1869.6,196.3,149.6,54.0
20,male,1.88,93,26.3,2638,cardio,high,5,very active,2967.2,296.7,259.6,82.4
44,female,1.53,90,38.4,2358,yoga,low,2,light,1528.5,152.8,95.5,59.4
57,female,1.8,54,16.7,3995,cardio+strength,high,4,moderate,2189.4,175.2,284.6,38.9
55,male,1.72,76,25.7,2169,yoga,low,2,light,1651.9,165.2,103.2,64.2
44,female,1.58,73,29.2,2828,cardio+strength,high,5,very active,1805.5,189.6,144.4,52.2
64,male,1.56,49,20.1,2792,strength,low,3,sedentary,1380.0,120.7,138.0,38.3
40,female,1.48,85,38.8,2370,cardio+strength,high,5,very active,1939.2,203.6,155.1,56.0
56,female,1.65,103,37.8,2085,cardio,high,5,very active,2294.9,229.5,200.8,63.7
31,male,1.57,78,31.6,3894,yoga,low,3,sedentary,1433.5,143.3,89.6,55.7
42,female,1.63,62,23.3,3587,cardio,high,5,very active,2186.9,164.0,246.0,60.7
46,male,1.83,59,17.6,2126,yoga,low,2,light,2374.5,178.1,267.1,66.0
55,male,1.85,99,28.9,3942,cardio,high,6,very active,2736.5,273.7,239.4,76.0
19,female,1.64,104,38.7,3667,cardio,high,5,very active,2620.5,262.1,229.3,72.8
31,male,1.79,59,18.4,3699,cardio,high,5,very active,2988.8,224.2,411.0,49.8
63,female,1.83,88,26.3,1956,strength,low,5,sedentary,1357.3,152.7,101.8,37.7
33,female,1.53,45,19.2,2578,yoga,low,3,sedentary,1296.3,97.2,113.4,50.4
47,male,1.7,58,20.1,2722,yoga,low,2,light,1942.2,145.7,169.9,75.5
55,male,1.53,65,27.8,3709,cardio,high,5,very active,1805.0,180.5,157.9,50.1
64,male,1.75,107,34.9,1579,bodyweight,low,3,sedentary,1718.5,171.9,128.9,57.3
22,female,1.89,84,23.5,2480,strength,low,4,sedentary,2100.3,183.8,210.0,58.3
18,male,1.89,55,15.4,1850,cardio+strength,medium,5,moderate,2851.7,228.1,370.7,50.7
61,female,1.86,61,17.6,2025,cardio+strength,medium,5,moderate,2325.1,186.0,302.3,41.3
57,female,1.92,66,17.9,2585,cardio,high,5,very active,2739.2,205.4,376.6,45.7
48,female,1.93,70,18.8,2776,strength,low,3,sedentary,1806.3,158.1,180.6,50.2
40,female,1.67,102,36.6,1995,cardio+strength,medium,3,moderate,2139.3,224.6,171.1,61.8
30,male,1.48,47,21.5,3909,cardio,high,5,very active,2156.2,161.7,242.6,59.9
50,male,1.74,45,14.9,1790,cardio,high,6,very active,2529.6,189.7,347.8,42.2
60,male,1.56,49,20.1,2853,cardio,high,6,very active,2018.2,151.4,227.0,56.1
19,male,1.59,107,42.3,2377,cardio,high,5,very active,2904.7,290.5,254.2,80.7
49,male,1.81,105,32.1,2495,yoga,low,4,sedentary,1829.5,183.0,114.3,71.1
65,female,1.85,69,20.2,1886,strength,low,3,sedentary,1632.3,142.8,163.2,45.3
21,female,1.63,97,36.5,3412,yoga,low,4,sedentary,1567.3,156.7,98.0,61.0
61,male,1.79,57,17.8,1748,cardio+strength,high,6,very active,2695.6,215.6,350.4,47.9
40,female,1.85,58,16.9,2518,cardio,high,6,very active,2672.3,200.4,367.4,44.5
27,male,1.72,62,21.0,3228,strength,low,4,sedentary,1878.0,164.3,187.8,52.2
26,female,1.68,54,19.1,3315,yoga,low,2,light,1786.1,134.0,156.3,69.5
50,male,1.48,46,21.0,1882,cardio+strength,medium,4,moderate,1767.0,141.4,185.5,51.0
63,male,1.53,107,45.7,3471,cardio,high,6,very active,2460.5,246.1,215.3,68.3
28,female,1.9,66,18.3,3052,yoga,low,2,light,2426.4,182.0,273.0,67.4
15,female,1.58,103,41.3,2668,cardio,high,5,very active,2573.1,257.3,225.1,71.5
42,female,1.53,82,35.0,2391,yoga,low,4,sedentary,1186.3,118.6,74.1,46.1
18,male,1.82,52,15.7,1705,cardio,high,6,very active,3012.6,225.9,414.2,50.2
52,female,1.7,65,22.5,1732,cardio,high,5,very active,2227.8,167.1,250.6,61.9
47,male,1.88,53,15.0,3937,cardio+strength,high,4,moderate,2586.2,206.9,336.2,46.0
19,male,1.65,76,27.9,3871,cardio,high,5,very active,2434.7,243.5,213.0,67.6
53,male,1.76,98,31.6,3890,yoga,low,4,sedentary,1684.0,168.4,105.2,65.5
51,female,1.92,71,19.3,2786,yoga,low,3,sedentary,1792.8,134.5,156.9,69.7
30,female,1.65,83,30.5,3372,bodyweight,low,3,sedentary,1360.3,136.0,102.0,45.3
35,male,1.45,57,27.1,1800,strength,low,4,sedentary,1067.5,120.1,80.1,29.7
49,male,1.7,61,21.1,2929,cardio,high,5,very active,2471.1,185.3,278.0,68.6
19,male,1.63,65,24.5,3294,cardio+strength,medium,3,moderate,2447.1,195.8,256.9,70.7
49,female,1.76,46,14.9,3771,yoga,low,4,sedentary,1684.8,126.4,189.5,46.8
34,male,1.92,62,16.8,2583,cardio,high,6,very active,3154.9,236.6,433.8,52.6
22,male,1.82,64,19.3,2615,bodyweight,low,3,sedentary,2007.0,150.5,200.7,66.9
33,male,1.81,71,21.7,2581,yoga,low,2,light,2311.7,173.4,202.3,89.9
47,female,1.58,51,20.4,1878,yoga,low,3,sedentary,1321.8,99.1,115.7,51.4
55,female,1.86,50,14.5,1514,strength,low,5,sedentary,1771.8,155.0,221.5,29.5
36,male,1.77,78,24.9,2161,cardio+strength,high,4,moderate,2652.4,212.2,278.5,76.6
62,female,1.73,99,33.1,3797,cardio+strength,medium,5,moderate,1980.4,207.9,158.4,57.2
15,male,1.49,64,28.8,3734,yoga,high,4,moderate,1826.9,182.7,114.2,71.0
