age,gender,height,weight,bmi,calories_intake,exercise_type,intensity_level,duration_minutes,frequency_per_week,estimated_calorie_burn
55,male,1.46,75,35.2,2503,yoga,low,23,2,123
62,male,1.79,109,34.0,1856,yoga,low,29,3,225
17,male,1.5,69,30.7,3569,bodyweight,low,29,3,142
16,male,1.81,109,33.3,3218,bodyweight,low,23,3,179
43,female,1.85,40,11.7,2153,strength,low,20,4,57
36,female,1.53,83,35.5,1918,cardio,high,21,6,298
21,female,1.87,117,33.5,2583,cardio,high,20,6,401
49,male,1.94,88,23.4,1822,cardio+strength,medium,34,4,341
51,male,1.8,45,13.9,2433,yoga,low,20,3,64
20,male,1.88,88,24.9,2638,cardio+strength,medium,44,5,442
38,male,1.64,66,24.5,2593,cardio+strength,medium,27,3,203
49,male,1.53,88,37.6,2605,cardio,high,30,5,452
58,female,1.87,47,13.4,2438,yoga,low,20,2,67
35,female,1.58,67,26.8,3823,cardio+strength,high,50,4,574
56,female,1.65,98,36.0,2085,yoga,low,24,2,168
30,female,1.82,94,28.4,3890,cardio+strength,high,52,5,837
29,male,1.7,51,17.6,1692,strength,low,20,3,72
24,male,1.85,94,27.5,3942,cardio+strength,high,42,5,676
39,female,1.71,110,37.6,1547,cardio,high,30,5,565
58,female,1.83,83,24.8,1956,yoga,low,24,3,142
25,female,1.45,73,34.7,3550,cardio,high,22,5,275
55,female,1.87,104,29.7,3994,yoga,low,23,2,170
38,male,1.72,107,36.2,1502,cardio,high,29,6,531
46,male,1.51,86,37.7,2759,cardio,high,23,5,339
30,male,1.49,102,45.9,1783,cardio,high,28,5,489
23,female,1.92,61,16.5,2585,strength,low,20,5,87
53,female,1.93,109,29.3,2323,yoga,low,24,3,186
57,female,1.67,106,38.0,3349,yoga,low,21,2,159
29,male,1.62,115,43.8,3768,cardio,high,23,5,453
15,male,1.8,47,14.5,2437,bodyweight,low,20,3,67
19,male,1.88,49,13.9,3605,strength,low,20,4,70
32,female,1.56,56,23.0,3838,cardio+strength,medium,58,5,371
30,female,1.85,64,18.7,1886,cardio+strength,medium,33,5,241
42,female,1.66,99,35.9,1721,cardio,high,30,5,509
18,female,1.81,53,16.2,2518,strength,low,20,3,75
27,female,1.52,63,27.3,2640,cardio+strength,medium,44,3,316
19,female,1.85,110,32.1,1901,cardio,high,20,5,377
20,male,1.53,102,43.6,3471,cardio,high,23,6,402
18,male,1.64,89,33.1,2586,cardio,high,27,6,411
42,female,1.53,77,32.9,2391,cardio,high,20,5,264
62,female,1.48,114,52.0,3452,yoga,low,28,4,228
25,male,1.93,50,13.4,2261,strength,low,20,3,71
53,male,1.79,70,21.8,3153,yoga,low,21,4,105
30,male,1.76,93,30.0,3890,cardio+strength,high,58,6,924
35,female,1.55,80,33.3,2477,cardio,high,24,6,329
23,female,1.68,49,17.4,1538,strength,low,20,4,70
54,male,1.49,67,30.2,3572,yoga,low,24,2,114
37,male,1.89,87,24.4,2667,cardio+strength,medium,30,4,298
49,female,1.76,107,34.5,1532,cardio,high,30,6,550
57,male,1.92,57,15.5,2583,yoga,low,20,2,81
21,male,1.59,117,46.3,2362,cardio,high,25,5,501
58,female,1.7,72,24.9,1708,yoga,low,21,4,107
42,female,1.47,82,37.9,2035,cardio,high,30,6,421
25,female,1.73,94,31.4,3797,cardio,high,20,5,322
19,male,1.72,87,29.4,3885,cardio+strength,high,57,4,850
42,male,1.47,86,39.8,1663,cardio,high,25,5,368
58,male,1.78,85,26.8,3793,yoga,low,26,4,157
62,male,1.91,70,19.2,2165,yoga,low,22,3,110
16,male,1.82,82,24.8,3186,bodyweight,low,47,3,275
32,male,1.84,53,15.7,3066,strength,low,20,4,75
45,male,1.55,98,40.8,2932,cardio,high,24,5,403
29,male,1.78,91,28.7,2844,cardio+strength,medium,38,3,395
64,female,1.63,105,39.5,3137,yoga,low,30,4,225
36,male,1.51,73,32.0,2231,cardio,high,29,6,362
17,male,1.75,84,27.4,2784,bodyweight,low,38,3,228
53,male,1.64,113,42.0,2278,yoga,low,24,2,193
60,female,1.45,108,51.4,2307,yoga,low,25,3,192
19,female,1.76,55,17.8,2730,strength,low,20,5,78
34,female,1.61,77,29.7,3770,cardio+strength,high,44,4,580
41,female,1.79,62,19.4,3831,cardio+strength,medium,49,5,347
50,male,1.6,66,25.8,3260,yoga,high,58,4,656
56,female,1.68,96,34.0,2375,yoga,low,28,3,192
65,male,1.78,76,24.0,3611,yoga,low,30,4,162
54,female,1.5,70,31.1,2771,yoga,low,23,2,115
24,male,1.47,100,46.3,1798,cardio,high,27,6,462
55,male,1.81,89,27.2,3524,yoga,low,26,2,165
24,male,1.9,53,14.7,3241,strength,low,20,4,75
26,female,1.48,71,32.4,1997,cardio,high,27,5,328
44,female,1.93,96,25.8,3567,cardio+strength,high,53,6,872
43,male,1.82,100,30.2,3343,cardio,high,24,5,411
55,female,1.83,106,31.7,3484,yoga,low,30,2,227
32,female,1.49,76,34.2,2460,cardio,high,24,6,312
35,male,1.52,69,29.9,3068,cardio+strength,high,44,6,520
28,male,1.66,82,29.8,3722,cardio+strength,high,54,5,759
18,male,1.87,89,25.5,3892,cardio+strength,high,40,6,610
39,female,1.45,85,40.4,2723,cardio,high,26,6,378
49,male,1.69,74,25.9,3285,cardio+strength,high,55,4,697
39,female,1.78,91,28.7,2176,cardio+strength,medium,39,3,405
54,male,1.9,115,31.9,3811,yoga,low,30,2,246
20,female,1.52,99,42.8,2244,cardio,high,20,6,339
39,female,1.56,81,33.3,2882,cardio,high,26,6,361
63,female,1.58,50,20.0,3426,yoga,low,20,4,71
49,male,1.95,84,22.1,2418,cardio+strength,medium,27,3,259
63,male,1.92,65,17.6,1583,yoga,low,20,4,92
24,male,1.51,54,23.7,3810,cardio+strength,high,46,5,425
59,female,1.83,61,18.2,3981,yoga,low,20,4,87
62,male,1.84,60,17.7,2774,yoga,low,20,2,85
52,male,1.91,113,31.0,3037,yoga,low,26,4,209
27,male,1.75,120,39.2,2494,cardio,high,21,6,432
58,male,1.85,112,32.7,1668,yoga,low,25,4,200
42,female,1.48,83,37.9,1551,cardio,high,26,6,369
21,female,1.93,98,26.3,2126,cardio+strength,medium,43,3,481
61,female,1.76,108,34.9,3480,yoga,low,27,3,208
61,female,1.61,71,27.4,1854,yoga,low,24,3,121
30,female,1.73,88,29.4,2877,cardio+strength,medium,30,4,301
35,male,1.69,85,29.8,2558,cardio+strength,medium,40,4,388
53,female,1.73,106,35.4,2282,yoga,low,21,2,159
61,female,1.69,70,24.5,3450,yoga,low,30,4,150
46,female,1.85,51,14.9,2705,strength,low,20,3,72
40,male,1.6,114,44.5,3011,cardio,high,27,6,527
42,female,1.63,98,36.9,2609,cardio,high,24,6,403
29,male,1.81,80,24.4,1989,cardio+strength,medium,35,3,320
28,female,1.59,115,45.5,3648,cardio,high,29,6,571
21,male,1.6,86,33.6,2234,cardio,high,24,5,353
60,male,1.59,46,18.2,3766,yoga,low,20,3,65
59,male,1.77,102,32.6,1920,yoga,low,20,4,145
33,female,1.69,83,29.1,2255,cardio+strength,medium,31,4,294
45,male,1.86,91,26.3,3514,cardio+strength,high,42,6,655
55,male,1.53,112,47.8,2744,yoga,low,21,2,168
22,female,1.75,119,38.9,2424,cardio,high,28,6,571
43,female,1.6,115,44.9,3256,cardio,high,24,5,473
54,male,1.92,66,17.9,2364,yoga,low,20,3,94
57,male,1.53,62,26.5,3760,yoga,low,21,2,93
15,female,1.68,116,41.1,3424,bodyweight,low,24,3,198
17,male,1.59,76,30.1,3359,bodyweight,low,21,3,113
58,male,1.91,120,32.9,3915,yoga,low,30,2,257
42,male,1.72,59,19.9,2588,cardio+strength,medium,29,3,195
18,male,1.85,116,33.9,3831,cardio,high,24,6,477
22,female,1.79,91,28.4,2615,cardio+strength,medium,45,4,468
20,male,1.89,81,22.7,3972,cardio+strength,high,48,4,666
